,Model,Intersection,Ranked Results
0,CompVis/stable-diffusion-v1-4,[0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6],"['keogh/stable-diffusion-compvis-v1-4', 'olympictafira/cAT', 'pcuenq/stable-diffusion-v1-4', 'junnyu/stable-diffusion-v1-4-paddle', 'bryanhpchiang/anim', 'jutaporn37678/stable-diffusion-v1-0', 'pain/CalliarGen-v2', 'osanseviero/compvis_fix', 'nmkd/stable-diffusion-1.5-onnx-fp16']"
1,jonatasgrosman/wav2vec2-large-xlsr-53-hungarian,"[0.85714286 0.85714286 0.85714286 0.85714286 0.85714286 0.85714286
 0.71428571 0.85714286 0.71428571]","['jonatasgrosman/wav2vec2-large-xlsr-53-finnish', 'jonatasgrosman/wav2vec2-large-xlsr-53-greek', 'jonatasgrosman/wav2vec2-large-xlsr-53-persian', 'jonatasgrosman/wav2vec2-large-xlsr-53-japanese', 'jonatasgrosman/wav2vec2-large-english', 'jonatasgrosman/wav2vec2-large-xlsr-53-chinese-zh-cn', 'wbbbbb/wav2vec2-large-chinese-zh-cn', 'jonatasgrosman/wav2vec2-large-xlsr-53-arabic', 'stefan-it/wav2vec2-large-xlsr-53-basque']"
2,cerebras/Cerebras-GPT-13B,"[1.         1.         1.         1.         1.         1.
 0.8        0.         0.33333333]","['cerebras/Cerebras-GPT-1.3B', 'cerebras/Cerebras-GPT-590M', 'cerebras/Cerebras-GPT-256M', 'cerebras/Cerebras-GPT-6.7B', 'cerebras/Cerebras-GPT-2.7B', 'cerebras/Cerebras-GPT-13B', 'marcospiau/Cerebras-GPT-13B-reshard-1GB-float32', 'bjoernp/alpaca-cerebras-6.7B', 'seantyh/mpt-1b-rp200b-dolly']"
3,timm/eva02_base_patch14_224.mim_in22k,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],"['timm/eva02_small_patch14_336.mim_in22k_ft_in1k', 'timm/eva02_base_patch14_448.mim_in22k_ft_in22k_in1k', 'timm/eva02_large_patch14_448.mim_m38m_ft_in1k', 'timm/eva02_large_patch14_224.mim_m38m', 'timm/vit_relpos_base_patch16_clsgap_224.sw_in1k', 'timm/vit_relpos_small_patch16_224.sw_in1k', 'timm/vit_srelpos_small_patch16_224.sw_in1k', 'timm/vit_relpos_base_patch32_plus_rpn_256.sw_in1k', 'timm/vit_relpos_medium_patch16_cls_224.sw_in1k']"
4,Hello-SimpleAI/chatgpt-qa-detector-roberta,"[1.         0.         0.         0.         0.33333333 0.
 0.         0.         0.        ]","['Hello-SimpleAI/chatgpt-detector-roberta', 'KoalaAI/OPT-1.3b-Chat', 'spybot/Timpi_Wilson', 'lmsys/fastchat-t5-3b-v1.0', 'alistvt/fudnet', 'vivekfogteams/fastchat-3b-copy', 'gsaivinay/Platypus-30B', 'garage-bAInd/Platypus-30B', 'zhuqi/t5-large-coqr-canard']"
5,Yntec/OpenLexica,"[0.5        0.5        0.66666667 0.7        0.71428571 0.66666667
 0.5        0.66666667 0.28571429]","['Yntec/lametta', 'Yntec/REV', 'Yntec/iComixRemix', 'Yntec/WoopWoopRemix', 'Yntec/CartoonStyleClassic', 'digiplay/RMHF_2.5D_v2', 'Yntec/ReVAnimated768', 'digiplay/CityEdge_StyleMix_v1.44', 'Yntec/Infinite80s']"
6,Open-Orca/OpenOrcaxOpenChat-Preview2-13B,"[0.66666667 1.         1.         0.33333333 0.33333333 0.
 0.33333333 0.33333333 0.33333333]","['swapnice/swapnice-openorcaxopenchat-preview2-13b', 'Open-Orca/LlongOrca-7B-16k', 'Open-Orca/LlongOrca-13B-16k', 'NousResearch/Nous-Puffin-70B', 'elinas/vicuna-13b-4bit', 'vincentmin/llama-2-7b-reward-oasst1', 'linkanjarad/Cerebras-GPT-Alpaca-590m', 'pankajmathur/orca_mini_v3_7b', 'mrsteyk/openchatgpt-neox-125m']"
7,cardiffnlp/twitter-roberta-base-sentiment,"[1.         0.33333333 0.33333333 1.         0.66666667 0.5
 0.5        0.5        0.        ]","['cardiffnlp/twitter-roberta-base-sentiment-latest', 'siebert/sentiment-roberta-large-english', 'l3cube-pune/MarathiSentiment', 'cardiffnlp/twitter-xlm-roberta-base-sentiment', 'selimsametoglu/selims', 'osiria/bert-tweet-italian-uncased-sentiment', 'tblard/tf-allocine', 'philschmid/pt-tblard-tf-allocine', 'kevinscaria/joint_tk-instruct-base-def-pos-neg-neut-combined']"
8,Salesforce/codegen-2B-mono,[1. 1. 1. 1. 1. 1. 1. 1. 1.],"['Salesforce/codegen-6B-mono', 'Salesforce/codegen-16B-mono', 'Salesforce/codegen-350M-mono', 'Salesforce/codegen-350M-multi', 'Salesforce/codegen-6B-multi', 'Salesforce/codegen-2B-multi', 'Salesforce/codegen-16B-multi', 'Salesforce/codegen-2B-nl', 'Salesforce/codegen-6B-nl']"
9,prajjwal1/bert-small,"[1.         0.83333333 0.         0.         0.         0.
 0.         0.         0.        ]","['prajjwal1/bert-mini', 'harshil10/birt_tiny', 'GroNLP/bert-base-dutch-cased-upos-alpino', 'dumitrescustefan/bert-base-romanian-cased-v1', 'dumitrescustefan/bert-base-romanian-uncased-v1', 'mrm8488/bert-base-spanish-wwm-cased-finetuned-spa-squad2-es', 'Josue/BETO-espanhol-Squad2', 'jorgeortizfuentes/tulio-bert', 'l3cube-pune/marathi-bert-v2']"
10,Salesforce/xgen-7b-8k-base,[0.5 0.5 0.  0.5 0.5 0.5 0.5 0.5 0. ],"['OpenAssistant/pythia-12b-pre-v8-12.5k-steps', 'bhenrym14/airoboros-7b-gpt4-1.4.1-lxctx-PI-16384-fp16', 'hugggof/ConvTasNet_Libri3Mix_sepnoisy_16k', 'garage-bAInd/Platypus2-7B', 'garage-bAInd/Stable-Platypus2-13B', 'Open-Orca/OpenOrca-Platypus2-13B', 'Multi-Domain-Expert-Learning/REDPAJAMA-3B-expert-arxiv', 'lambdalabs/pythia-1.4b-deduped-synthetic-instruct', 'regisss/bridgetower-newyorker-gaudi2-8x']"
11,airesearch/wangchanberta-base-att-spm-uncased,[1.  1.  1.  1.  0.  0.  0.  0.5 0. ],"['airesearch/wangchanberta-base-wiki-newmm', 'airesearch/wangchanberta-base-wiki-syllable', 'airesearch/wangchanberta-base-wiki-spm', 'airesearch/wangchanberta-base-wiki-sefr', 'Bictole/NLP_DEEP_2', 's-nlp/gpt2-base-gedi-detoxification', 'cointegrated/rubert-base-cased-nli-threeway', 'neuropark/sahajBERT', 'dougtrajano/toxicity-target-classification']"
12,Salesforce/codegen-16B-nl,[1. 1. 1. 1. 1. 1. 1. 1. 1.],"['Salesforce/codegen-6B-nl', 'Salesforce/codegen-350M-nl', 'Salesforce/codegen-2B-nl', 'Salesforce/codegen-16B-mono', 'Salesforce/codegen-6B-mono', 'Salesforce/codegen-2B-mono', 'Salesforce/codegen-350M-mono', 'Salesforce/codegen-6B-multi', 'Salesforce/codegen-16B-multi']"
13,stabilityai/sd-x2-latent-upscaler,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1. ],"['jutaporn37678/stable-diffusion-v1-0', 'CompVis/stable-diffusion-v1-4', 'keogh/stable-diffusion-compvis-v1-4', 'olympictafira/cAT', 'pcuenq/stable-diffusion-v1-4', 'junnyu/stable-diffusion-v1-4-paddle', 'bryanhpchiang/anim', 'pain/CalliarGen-v2', 'stabilityai/stable-diffusion-x4-upscaler']"
14,baichuan-inc/Baichuan-13B-Base,[1.  0.  0.5 0.5 0.5 0.  0.  0.  0. ],"['baichuan-inc/Baichuan-13B-Chat', 'ClueAI/ChatYuan-7B', 'wgs/ChatGLM-Medical', 'jslin09/gpt2-chinese-cluecorpussmall-finetuned-fraud', 'openerotica/Qwen-7B-Chat-128g-4bit', 'THUDM/chatglm2-6b-int4', 'ssbuild/chatglm2-6b-int4', 'neukg/TechGPT-7B', 'michaelwzhu/ShenNong-TCM-LLM']"
15,czurita/nsql-llama-2-7B-sharded-bf16-2GB,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],"['NumbersStation/nsql-2B', 'NumbersStation/nsql-6B', 'NumbersStation/nsql-350M', 'NumbersStation/nsql-llama-2-7B', 'bugdaryan/Code-Llama-2-13B-instruct-text2sql', 'bugdaryan/WizardCoderSQL-15B-V1.0', 'richardr1126/spider-natsql-wizard-coder-merged', 'richardr1126/spider-skeleton-wizard-coder-8bit', 'lokpalai/lokpalgpt-falcon-7b-lora-4.5']"
16,google/vit-base-patch32-224-in21k,"[1.         1.         0.75       0.75       0.75       0.5
 0.33333333 0.25       0.25      ]","['google/vit-base-patch16-224-in21k', 'google/vit-huge-patch14-224-in21k', 'google/vit-base-patch16-224', 'google/vit-base-patch16-384', 'google/vit-base-patch32-384', 'optimum/vit-base-patch16-224', 'kakaobrain/vit-l16-coyo-labeled-300m-i1k512', 'facebook/dinov2-base-imagenet1k-1-layer', 'nateraw/vit-base-patch16-224-cifar10']"
17,facebook/esmfold_v1,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"['djh992/tinyIFD_Mpro', 'jaykmr/ESMCrystal_t12_35M_v2', 'zjunlp/llama-molinst-protein-7b', 'jaykmr/ESMCrystal_t6_8M_v1', 'zjunlp/llama-molinst-molecule-7b', 'liyuesen/druggpt', 'mort666/faster-whisper-large-v2-th', 'BAAI/OPI_full_Galactica-6.7B', 'minhnguyen/Advanced_B-cell_Epitopes_Prediction']"
18,laion/CLIP-convnext_large_d_320.laion2B-s29B-b131K-ft-soup,[0. 0. 1. 0. 0. 0. 0. 0. 1.],"['apple/deeplabv3-mobilevit-xx-small', 'Matthijs/deeplabv3-mobilevit-small', 'laion/CLIP-convnext_base_w-laion2B-s13B-b82K', 'dennisjooo/emotion_classification', 'segmind/tiny-sd', 'kenobi/SDO_VT1', 'BleachNick/MMICL-Instructblip-T5-xxl', 'PrakhAI/AIPlane3', 'laion/CLIP-ViT-B-32-xlm-roberta-base-laion5B-s13B-b90k']"
19,bhadresh-savani/roberta-base-emotion,"[0.66666667 0.5        0.66666667 0.5        0.25       0.
 0.         0.         0.5       ]","['bhadresh-savani/albert-base-v2-emotion', 'nanopass/distilbert-base-uncased-emotion-2', 'bhadresh-savani/bert-base-uncased-emotion', 'BiaDd/emotion-model', 'l3cube-pune/MarathiSentiment', 'LEIA/LEIA-LM-base', 'NightMachinery/task_adapter_amazon_bert-base-multilingual-cased_en_wiki', 'coreychambers/entartst', 'neel-jotaniya/emotion-advance-classifier']"
20,timm/convnextv2_nano.fcmae_ft_in22k_in1k,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],"['timm/convnextv2_atto.fcmae_ft_in1k', 'timm/convnextv2_pico.fcmae_ft_in1k', 'timm/convnextv2_femto.fcmae_ft_in1k', 'timm/convnextv2_nano.fcmae_ft_in1k', 'timm/convnextv2_tiny.fcmae_ft_in1k', 'timm/convnextv2_huge.fcmae_ft_in1k', 'timm/convnextv2_tiny.fcmae_ft_in22k_in1k_384', 'timm/convnextv2_huge.fcmae_ft_in22k_in1k_512', 'timm/rexnetr_200.sw_in12k_ft_in1k']"
21,DeepPavlov/rubert-base-cased-conversational,[1. 1. 0. 0. 0. 0. 0. 0. 0.],"['DeepPavlov/bert-base-cased-conversational', 'DeepPavlov/distilrubert-small-cased-conversational', 's-nlp/rubert-base-cased-conversational-paraphrase-v1', 'cjvt/sloberta-sleng', 'erikycd/chatbot_hadita', 'mrm8488/xlm-roberta-base-finetuned-HC3-mix', 'ITG/DialoGPT-medium-spanish-chitchat', 'tarob0ba/opus-mt-en-mul-finetuned-en-to-lfn', 'tarob0ba/opus-mt-mul-en-finetuned-lfn-to-en']"
22,sd-dreambooth-library/mr-potato-head,[1. 1. 1. 1. 1. 1. 1. 1. 1.],"['sd-dreambooth-library/mau-cat', 'sd-dreambooth-library/sks-rv', 'sd-dreambooth-library/axolotee', 'sd-dreambooth-library/metahuman-rkr', 'sd-dreambooth-library/kamenridergeats', 'sd-dreambooth-library/mirtha-legrand', 'sd-dreambooth-library/ba-shiroko', 'sd-dreambooth-library/tempa2', 'sd-dreambooth-library/partis']"
23,Salesforce/codegen-350M-nl,[1. 1. 1. 1. 1. 1. 1. 1. 1.],"['Salesforce/codegen-16B-nl', 'Salesforce/codegen-6B-nl', 'Salesforce/codegen-2B-nl', 'Salesforce/codegen-16B-mono', 'Salesforce/codegen-6B-mono', 'Salesforce/codegen-350M-mono', 'Salesforce/codegen-2B-mono', 'Salesforce/codegen-350M-multi', 'Salesforce/codegen-16B-multi']"
24,Salesforce/blip2-flan-t5-xl,"[0.83333333 0.83333333 0.66666667 0.66666667 0.83333333 0.83333333
 0.83333333 0.66666667 0.75      ]","['Salesforce/blip2-flan-t5-xl-coco', 'Salesforce/blip2-flan-t5-xxl', 'Mediocreatmybest/blip2-opt-2.7b_8bit', 'Mediocreatmybest/blip2-opt-6.7b_8bit', 'Salesforce/blip2-opt-2.7b', 'Salesforce/blip2-opt-2.7b-coco', 'Salesforce/blip2-opt-6.7b-coco', 'getZuma/image-captioning', 'microsoft/git-large-textcaps']"
25,yiyanghkust/finbert-tone,[0.   0.   0.75 0.   0.25 0.25 0.75 0.   0.75],"['philschmid/finbert-pretrain-yiyanghkust', 'FinanceInc/finbert-pretrain', 'Narsil/finbert2', 'NlpHUST/vibert4news-base-cased', 'soleimanian/financial-roberta-large-sentiment', 'faycadnz/IMFBERT_binary', 'nickmuchi/sec-bert-finetuned-finance-classification', 'KETI-AIR/ke-t5-base', 'ahmedrachid/FinancialBERT-Sentiment-Analysis']"
26,jordiclive/Llama-2-70b-oasst-1-200,"[0.5        0.25       0.         0.25       0.66666667 0.25
 0.25       0.25       0.        ]","['ushikado/yuyuyui-chatbot', 'TehVenom/Pygmalion-13b-Merged', 'Hariharavarshan/Cover_genie', 'TehVenom/Pygmalion-7b-4bit-GPTQ-Safetensors', 'OpenAssistant/oasst-sft-1-pythia-12b', 'Neko-Institute-of-Science/pygmalion-7b', 'rustformers/stablelm-ggml', 'MrToast/idk', 'Chinese-Vicuna/Chinese-Vicuna-lora-7b-chatv1']"
27,philschmid/bart-large-cnn-samsum,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"['dandelin/vilt-b32-mlm', 'keras-io/conv_mixer_image_classification', 'turing-motors/heron-preliminary-git-Llama-2-70b-v0', 'liuhaotian/LLaVA-Lightning-7B-delta-v1-1', 'Xynon/SD-Silicon', 'UpGrowTeam/UpGrow', 'HuggingFaceM4/idefics-9b-instruct', 'konapieces/LastpieceCoreXL', 'bsmock/TATR-v1.1-Pub']"
28,emilianJR/CyberRealistic_V3,"[0.83333333 0.83333333 0.83333333 0.83333333 0.83333333 0.83333333
 0.66666667 0.83333333 0.83333333]","['emilianJR/XXMix_9realistic', 'emilianJR/RealisticVision_V2', 'emilianJR/epiCRealism', 'emilianJR/KenCanMix_V2', 'emilianJR/majicMIX_realistic_v5_preview', 'emilianJR/NeverEndingDream', 'mfrashad/majicMIX_realistic_v6', 'emilianJR/ProGenUberAnalogMix_V1', 'emilianJR/HRA_hyperrealism_art']"
29,sociocom/MedNER-CR-JA,"[1.         0.33333333 0.         0.33333333 0.33333333 0.5
 0.5        0.25       0.2       ]","['sociocom/MedNERN-CR-JA', 'tartuNLP/est-roberta-hist-ner', 'HueyNemud/das22-10-camembert_pretrained', 'HueyNemud/das22-41-camembert_pretrained_finetuned_ref', 'HueyNemud/das22-43-camembert_pretrained_finetuned_pero', 'aitslab/biobert_huner_species_v1', 'daman043/roberta-base-finetuned-cluener2020-chinese', 'bullmount/it_nerIta_trf', 'lang-uk/flair-uk-ner']"
30,TalTechNLP/voxlingua107-epaca-tdnn,"[0.66666667 0.83333333 0.         0.         0.         0.
 0.33333333 0.         0.        ]","['TalTechNLP/voxlingua107-xls-r-300m-wav2vec', 'TalTechNLP/voxlingua107-epaca-tdnn-ce', 'facebook/s2t-small-librispeech-asr', 'esnya/japanese_speecht5_tts', 'thesven/whisper-tiny-bn-v2', 'Jzuluaga/bert-base-speaker-role-atc-en-uwb-atcc', 'AaltoSpeech/CombFinnish-AED-CRDNN', 'wannaphong/khanomtan-tts-v1.0', 'thesven/whisper-tiny-bn-thesven']"
31,gilf/french-camembert-postag-model,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],"['mrm8488/bert-spanish-cased-finetuned-pos', 'flair/upos-multi', 'new5558/HoogBERTa-POS-lst20', 'bene-ges/ru_g2p_ipa_bert_large', 'flair/upos-multi-fast', 'lang-uk/flair-uk-pos', 'noeminaepli/swiss_german_pos_model', 'qanastek/pos-french-camembert-flair', 'noeminaepli/swiss_german_stts_pos_model']"
32,google/bigbird-pegasus-large-arxiv,[0.75 0.5  0.   0.25 0.   0.25 0.25 0.25 0.  ],"['google/bigbird-pegasus-large-pubmed', 'google/bigbird-pegasus-large-bigpatent', 'flax-community/pino-bigbird-roberta-base', 'google/bigbird-roberta-base', 'flax-community/bigband', 't5-3b', 't5-11b', 't5-small', 'Hitesh1501/Longformer']"
33,robotjung/SemiRealMix,[0.5  0.5  0.25 0.4  0.   0.25 0.25 0.4  0.25],"['hakurei/waifu-diffusion', 'NerdyRodent/rodent-diffusion-1-5', 'CyberHarem/indianapolis_azurlane', 'coreml-community/coreml-elldreths-dream-mix', 'MrHup/coloring-book', 'CyberHarem/zenobia_fgo', 'CyberHarem/waai_fu_arknights', 'HighCWu/sd-controllora-face-landmarks', 'CyberHarem/cliffheart_arknights']"
34,lllyasviel/control_v11p_sd15_canny,"[0.85714286 0.85714286 0.85714286 0.75       0.85714286 0.85714286
 0.85714286 0.85714286 0.85714286]","['lllyasviel/control_v11p_sd15_softedge', 'lllyasviel/control_v11p_sd15_normalbae', 'lllyasviel/control_v11p_sd15_openpose', 'ControlNet-1-1-preview/control_v11p_sd15_lineart', 'lllyasviel/control_v11p_sd15_scribble', 'lllyasviel/control_v11p_sd15_seg', 'lllyasviel/control_v11f1p_sd15_depth', 'lllyasviel/control_v11p_sd15s2_lineart_anime', 'lllyasviel/control_v11e_sd15_shuffle']"
35,Yntec/dreamlike-photoreal-remix,[0.    0.5   0.625 0.875 0.5   0.    0.    0.5   0.5  ],"['BlancOfficial/Healy_AnimeBlend', 'Yntec/HassanBlend12', 'Yntec/DeliShaper', 'Yntec/Dreamlike', 'Jasm1neTea/drachenlord-x-protogen-dreambooth', 'Copax/copax_melodies', 'weareleve1upkpop/Leve1UP-members-LoRas', 'Yntec/HassanBlend1512VAE', 'ZoeCastillo/ZC_simplestyle']"
36,joeddav/distilbert-base-uncased-go-emotions-student,[0.5 0.  0.  0.5 0.  0.2 0.2 0.2 0. ],"['Cohee/distilbert-base-uncased-go-emotions-onnx', 'ProdicusII/ZeroShotBioNER', 'MilosKosRad/BioNER', 'SamLowe/roberta-base-go_emotions', 'BXYMartin/long-t5-tglobal-base-openhearthstone-v0.1', 'gchhablani/fnet-base-finetuned-mnli', 'gchhablani/fnet-base-finetuned-rte', 'gchhablani/fnet-base-finetuned-sst2', 'Shushant/ApplicantTrackingSystemBERT']"
37,lllyasviel/sd-controlnet-depth,"[0.83333333 0.83333333 0.83333333 0.83333333 0.83333333 0.83333333
 0.83333333 0.83333333 0.83333333]","['lllyasviel/sd-controlnet-canny', 'lllyasviel/sd-controlnet-hed', 'lllyasviel/sd-controlnet-normal', 'lllyasviel/sd-controlnet-openpose', 'lllyasviel/sd-controlnet-scribble', 'lllyasviel/sd-controlnet-mlsd', 'lllyasviel/sd-controlnet-seg', 'lllyasviel/control_v11p_sd15_lineart', 'lllyasviel/control_v11p_sd15_canny']"
38,sander-wood/text-to-music,"[0.33333333 0.         0.66666667 0.33333333 0.         0.33333333
 0.33333333 0.33333333 0.        ]","['juancopi81/mutopia_guitar_mmm', 'DancingIguana/music-generation', 'sander-wood/clamp-small-1024', 'slseanwu/compose-and-embellish-pop1k7', 'groadabike/ConvTasNet_DAMPVSEP_EnglishNonEnglish_baseline', 'reach-vb/musicgen-large-fp16-endpoint', 'facebook/musicgen-small', 'LoopersClub/musicgen-small', 'nguyenvulebinh/lyric-alignment']"
39,albert-xxlarge-v2,"[1.         1.         0.66666667 0.75       0.         0.25
 1.         1.         0.25      ]","['albert-xxlarge-v2', 'albert-xlarge-v2', 'tftransformers/albert-xxlarge-v2', 'tftransformers/albert-base-v1', 'Gxl/234', 'macedonizer/ba-roberta-base', 'roberta-base', 'model-attribution-challenge/roberta-base', 'macedonizer/al-roberta-base']"
40,T-Systems-onsite/cross-en-de-roberta-sentence-transformer,"[0.14285714 0.         0.1        0.1        0.1        0.2
 0.2        0.2        0.1       ]","['hackathon-pln-es/paraphrase-spanish-distilroberta', 'Dimitre/universal-sentence-encoder', 'sentence-transformers/all-distilroberta-v1', 'sentence-transformers/all-mpnet-base-v2', 'diptanuc/all-mpnet-base-v2', 'navteca/all-mpnet-base-v2', '3gg/all-mpnet-base-v2', 'sentence-transformers/all-roberta-large-v1', 'sentence-transformers/all-MiniLM-L12-v2']"
41,cl-tohoku/bert-base-japanese-whole-word-masking,"[1.         0.66666667 1.         0.66666667 0.66666667 0.66666667
 0.         0.33333333 0.66666667]","['cl-tohoku/bert-base-japanese', 'cl-tohoku/bert-base-japanese-v3', 'cl-tohoku/bert-base-japanese-char', 'asafaya/bert-mini-arabic', 'ku-accms/bert-base-japanese-ssuw', 'asafaya/bert-base-arabic', 'lirondos/anglicisms-spanish-mbert', 'google/bigbird-roberta-base', 'izumi-lab/bert-small-japanese']"
42,darkstorm2150/Protogen_x5.8_Official_Release,"[0.875      0.875      0.2        0.2        0.33333333 0.6
 0.4        0.66666667 0.4       ]","['darkstorm2150/Protogen_v2.2_Official_Release', 'darkstorm2150/Protogen_x3.4_Official_Release', 'DionTimmer/controlnet_qrcode-control_v1p_sd15', 'DionTimmer/controlnet_qrcode-control_v11p_sd21', 'treksis/coreml-ChilloutMix', 'naclbit/trinart_derrida_characters_v2_stable_diffusion', 'coreml-community/coreml-moDi-v1', 'haor/Evt_V4-preview', 'coreml-community/coreml-vanGoghDiffusion_v1']"
43,EleutherAI/pythia-6.9b,"[0.83333333 1.         0.66666667 0.66666667 0.83333333 0.25
 0.         0.         0.16666667]","['EleutherAI/pythia-70m-deduped', 'EleutherAI/pythia-12b', 'P1ayer-1/pythia-1b-deduped-instruct-base', 'exa1128/pythia-1000step', 'EleutherAI/pythia-1.4b-v0', 'rustformers/pythia-ggml', 'uwnlp/llama-2-70b-qlora-openorca', 'declare-lab/flan-alpaca-xl-lora', 'ngoantech/Llama-2-7b-vietnamese-20k']"
44,WizardLM/WizardLM-13B-V1.2,[1.  1.  1.  0.5 0.5 0.5 0.5 0.5 0.5],"['WizardLM/WizardCoder-Python-34B-V1.0', 'WizardLM/WizardCoder-Python-13B-V1.0', 'WizardLM/WizardCoder-15B-V1.0', 'alimtegar/WizardCoder-15B-V1.0-sharded', 'anttip/WizardCoder-15B-V1.0', 'huggingtweets/drumbunkerdrag1', 'Mediocreatmybest/WizardCoder-Python-34B-V1.0_8bit_nf4', 'huggingtweets/endlessoffal', 'smallcloudai/Refact-1_6B-fim']"
45,pyannote/segmentation,"[0.84615385 0.28571429 0.53846154 0.28571429 0.33333333 0.2
 0.23076923 0.2        0.        ]","['philschmid/pyannote-segmentation', 'superb/hubert-base-superb-sid', 'pyannote/embedding', 'superb/wav2vec2-base-superb-sid', 'flax-community/wav2vec2-german', 'cwkeam/mctct-large', 'nvidia/speakerverification_en_titanet_large', 'speechbrain/m-ctc-t-large', 'Mastering-Python-HF/nvidia_tts_en_hifitts_hifigan_ft_fastpitch']"
46,PygmalionAI/pygmalion-350m,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"['Trelis/mpt-7b-8k-chat-sharded-bf16', 'wanglab/clinical-camel', '922-CA/LLilmonix3b-v0.3', 'HuggingFaceH4/starchat-beta', '922-CA/l2-7b-sayori-ddlc-v0.1', '922-CA/LLilmonix3b-v0.4a', 'TheBloke/starchat-beta-GGML', 'alpindale/pyg-vn-2.7b', 'piratos/ct2fast-starchat-beta']"
47,jackaduma/SecRoBERTa,[1.  0.  0.  0.5 0.  0.  0.  0.  0. ],"['jackaduma/SecBERT', 'pandrei7/autextification-upb-mtl', 'HooshvareLab/bert-fa-base-uncased-clf-persiannews', 'ehsanaghaei/SecureBERT_Plus', 'y-oikawa/Information-triage-for-disaster-tweets', 'climatebert/transition-physical', 'HooshvareLab/bert-fa-base-uncased-clf-digimag', 'geralt/MechDistilGPT2', 'ritwikm/gandhi-gpt']"
48,nvidia/segformer-b5-finetuned-ade-640-640,[0.8 0.8 0.6 0.6 0.6 0.6 0.6 0.6 0.4],"['nvidia/segformer-b0-finetuned-ade-512-512', 'nvidia/segformer-b2-finetuned-ade-512-512', 'optimum/segformer-b0-finetuned-ade-512-512', 'nvidia/segformer-b0-finetuned-cityscapes-768-768', 'nvidia/segformer-b0-finetuned-cityscapes-512-1024', 'nvidia/segformer-b5-finetuned-cityscapes-1024-1024', 'nvidia/segformer-b3-finetuned-cityscapes-1024-1024', 'nvidia/segformer-b0-finetuned-cityscapes-640-1280', 'chainyo/segformer-b1-sidewalk']"
49,bigcode/starcoderbase-3b,[1.  1.  1.  1.  1.  0.5 1.  1.  0.5],"['bigcode/starcoderbase-7b', 'bigcode/starcoderbase-1b', 'bigcode/starcoderbase', 'bigcode/starcoder', 'bigcode/starcoderbase-megatron', 'GeorgiaTechResearchInstitute/starcoder-gpteacher-code-instruct', 'bigcode/starcoder-megatron', 'bigcode/starcoderplus-megatron', 'shailja/fine-tuned-codegen-2B-Verilog']"
