,Model,Intersection,Ranked Results
50,bofenghuang/vigogne-2-13b-instruct,"[0.5        0.5        0.25       0.5        0.2        0.
 0.33333333 0.2        0.2       ]","['GralchemOz/guanaco-13b-chinese', 'GralchemOz/guanaco-33b-chinese-GPTQ-4bit-128g', 'Undi95/Unholy-v1-10L-13B', 'GralchemOz/Nous-Hermes-Llama2-13b-chinese', 'TheBloke/gpt4-alpaca-lora-13B-HF', 'DataikuNLP/camembert-base', 'arthurangelici/opt-6.7b-lora-caramelo', 'azale-ai/DukunLM-7B-V1.0-Uncensored', 'azale-ai/DukunLM-Uncensored-7B']"
51,distilbert-base-cased-distilled-squad,[1. 0. 0. 0. 0. 0. 0. 0. 0.],"['distilbert-base-uncased-distilled-squad', 'minhtriphan/LongFinBERT-base', 'microsoft/Multilingual-MiniLM-L12-H384', 'nlpaueb/sec-bert-num', 'nlpaueb/sec-bert-shape', 'nlpaueb/sec-bert-base', 'distilbert-base-multilingual-cased', 'mosaicml/mosaic-bert-base-seqlen-1024', 'mosaicml/mosaic-bert-base-seqlen-2048']"
52,google/vivit-b-16x2-kinetics400,[0.  0.  0.  0.5 0.  0.  0.  0.  0. ],"['obvious-research/phenaki-cvivit', 'krasserm/perceiver-io-optical-flow', 'damo-vilab/MS-Image2Video', 'Sense-X/uniformer_video', 'BleachNick/MMICL-Instructblip-T5-xxl', 'BAAI/EVA', 'damo-vilab/MS-Vid2Vid-XL', 'frgfm/repvgg_a0', 'franciscoafy/vit-base-patch16-224-franciscoflores-classification']"
53,mrm8488/t5-base-finetuned-summarize-news,"[0.         0.         0.         0.33333333 0.         0.
 0.         0.         0.66666667]","['Joemgu/pegasus-x-sumstew', 'human-centered-summarization/financial-summarization-pegasus', 'com3dian/Bart-large-paper2slides-summarizer', 'com3dian/Bart-large-paper2slides-expander', 'Ssarion/bart-base-multi-news', 'ainize/bart-base-cnn', 'ELiRF/NASES', 'ELiRF/NASCA', 'mrm8488/t5-small-finetuned-squadv1']"
54,jondurbin/airoboros-13b-gpt4-1.4,"[1.         0.66666667 1.         1.         0.33333333 0.
 0.33333333 0.5        0.33333333]","['jondurbin/airoboros-65b-gpt4-1.4', 'jondurbin/airoboros-7b-gpt4-1.4.1-qlora', 'jondurbin/airoboros-33b-gpt4-1.4', 'jondurbin/airoboros-mpt-30b-gpt4-1p4-five-epochs', 'OpenAssistant/codellama-13b-oasst-sft-v10', 'michaelfeil/ct2fast-starchat-beta', 'rinna/vicuna-13b-delta-finetuned-langchain-MRKL', 'TehVenom/Dolly_Shygmalion-6b-Dev_V8P2', 'NousResearch/Nous-Puffin-70B']"
55,codellama/CodeLlama-7b-Instruct-hf,"[1.         1.         1.         1.         0.66666667 1.
 0.66666667 0.66666667 0.66666667]","['codellama/CodeLlama-34b-Instruct-hf', 'codellama/CodeLlama-34b-Python-hf', 'codellama/CodeLlama-13b-Python-hf', 'codellama/CodeLlama-34b-hf', 'TabbyML/CodeLlama-13B', 'codellama/CodeLlama-7b-hf', 'TabbyML/CodeLlama-7B', 'vodkaslime/codellama-7b-hf', 'piratos/ct2fast-codellama-13b-instruct-hf']"
56,BridgeTower/bridgetower-base,[1. 1. 1. 0. 0. 0. 0. 0. 0.],"['BridgeTower/bridgetower-base', 'BridgeTower/bridgetower-base-itm-mlm', 'BridgeTower/bridgetower-large-itm-mlm-gaudi', 'alibaba-damo/mgp-str-base', 'microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224', 'Team-PIXEL/pixel-base', 'liuhaotian/LLaVA-Lightning-7B-delta-v1-1', 'HuggingFaceM4/idefics-9b-instruct', 'koajoel/PolyFormer']"
57,Salesforce/codegen-16B-multi,[1. 1. 1. 1. 1. 1. 1. 1. 1.],"['Salesforce/codegen-6B-multi', 'Salesforce/codegen-2B-multi', 'Salesforce/codegen-350M-multi', 'Salesforce/codegen-16B-mono', 'Salesforce/codegen-2B-mono', 'Salesforce/codegen-350M-mono', 'Salesforce/codegen-6B-mono', 'Salesforce/codegen-350M-nl', 'Salesforce/codegen-16B-nl']"
58,stablediffusionapi/disney-pixal-cartoon,"[0.83333333 0.83333333 0.83333333 0.83333333 0.83333333 0.83333333
 0.83333333 0.83333333 0.83333333]","['stablediffusionapi/disney-pixar-cartoon', 'stablediffusionapi/samaritan-3d-cartoon', 'stablediffusionapi/real-cartoon-realist', 'stablediffusionapi/rev-animated', 'stablediffusionapi/disneypixar', 'stablediffusionapi/meina-hentai', 'stablediffusionapi/dreadless-v3', 'stablediffusionapi/juggernaut-xl', 'stablediffusionapi/animatrix']"
59,kontur-ai/sbert_punc_case_ru,[0.5 0.  0.5 0.  0.  0.  0.  0.  0. ],"['inkoziev/rugpt_chitchat', 'remshu-inc/mencoder', 'inkoziev/rugpt_interpreter', 'Bananaws/Python_Task6', 'inkoziev/paraphraser', 'remshu-inc/mmark', 'TeraSpace/replica_classification', 'SiberiaSoft/SiberianFRED-T5-XL', 'psymon/KoLlama2-7b']"
60,runwayml/stable-diffusion-v1-5,[0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6],"['Kernel/sd-nsfw', 'nmkd/stable-diffusion-1.5-onnx-fp16', 'pain/CalliarGen-v2', 'CompVis/stable-diffusion-v1-4', 'keogh/stable-diffusion-compvis-v1-4', 'olympictafira/cAT', 'pcuenq/stable-diffusion-v1-4', 'junnyu/stable-diffusion-v1-4-paddle', 'bryanhpchiang/anim']"
61,Salesforce/codet5p-220m,[1.  1.  1.  1.  1.  1.  0.5 1.  1. ],"['Salesforce/codet5p-2b', 'Salesforce/codet5p-6b', 'Salesforce/codet5p-770m', 'Salesforce/codet5p-16b', 'Salesforce/instructcodet5p-16b', 'Salesforce/codet5p-770m-py', 'Salesforce/codet5p-220m-bimodal', 'Salesforce/codet5p-220m-py', 'Salesforce/codet5p-110m-embedding']"
62,TheBloke/gpt4-alpaca-lora_mlp-65B-GPTQ,"[0.5        0.33333333 0.5        0.5        0.5        0.33333333
 1.         0.         0.5       ]","['TheBloke/dromedary-65B-lora-GPTQ', 'TheBloke/h2ogpt-gm-oasst1-en-2048-falcon-40b-v2-GPTQ', 'TheBloke/samantha-13B-GPTQ', 'TheBloke/airoboros-13B-1.1-GPTQ', 'TheBloke/Samantha-7B-GPTQ', 'TheBloke/orca_mini_13B-GPTQ', 'TheBloke/llama-13b-supercot-GGML', 'philschmid/falcon-40b-instruct-GPTQ-inference-endpoints', 'TheBloke/samantha-33B-GPTQ']"
63,mosaicml/mpt-7b-8k-chat,"[1.         0.95238095 0.33333333 0.33333333 0.         0.
 0.         0.         0.5       ]","['mosaicml/mpt-30b-chat', 'Trelis/mpt-7b-8k-chat-sharded-bf16', 'dfurman/falcon-7b-openassistant-peft', 'dfurman/falcon-40b-openassistant-peft', '922-CA/l2-13b-sayori-v0.1-qloras', '922-CA/l2-13b-yuri-v0.1-qloras', '922-CA/l2-13b-monika-v0.3-qloras', '922-CA/l2-13b-natsuki-v0.1-qloras', '922-CA/l2-7b-yuri-ddlc-v0.1']"
64,distilbert-base-uncased-distilled-squad,[1. 0. 0. 0. 0. 0. 0. 0. 0.],"['distilbert-base-cased-distilled-squad', 'minhtriphan/LongFinBERT-base', 'nlpaueb/sec-bert-num', 'nlpaueb/sec-bert-shape', 'nlpaueb/sec-bert-base', 'microsoft/Multilingual-MiniLM-L12-H384', 'distilbert-base-multilingual-cased', 'mosaicml/mosaic-bert-base-seqlen-1024', 'mosaicml/mosaic-bert-base-seqlen-2048']"
65,j-hartmann/emotion-english-distilroberta-base,"[0.2        0.33333333 0.5        0.5        0.5        0.25
 0.5        0.33333333 0.33333333]","['KBLab/emotional-classification', 'patrickramos/bert-base-japanese-v2-wrime-fine-tune', 'transformersbook/distilbert-base-uncased-finetuned-emotion', 'yting27/pba1-emotion-classification', 'cyrildever/distilbert-base-uncased-finetuned-emotion', 'w11wo/indonesian-roberta-base-prdect-id', 'alexandrainst/da-emotion-classification-base', 'w11wo/sundanese-bert-base-emotion-classifier', 'w11wo/sundanese-roberta-base-emotion-classifier']"
66,moussaKam/barthez,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"['danjohnvelasco/roberta-tagalog-base-cohfie-v1', 'amandyk/QazGPT2', 'flax-community/bigband', 'google/bigbird-roberta-base', 'MultiBertGunjanPatrick/multiberts-seed-0-0k', 'microsoft/prophetnet-large-uncased-cnndm', 'MultiBertGunjanPatrick/multiberts-seed-4-500k', 'MultiBertGunjanPatrick/multiberts-seed-4-0k', 'MultiBertGunjanPatrick/multiberts-seed-4-60k']"
67,facebook/mask2former-swin-base-coco-panoptic,[0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.5],"['facebook/mask2former-swin-large-mapillary-vistas-panoptic', 'facebook/mask2former-swin-large-ade-panoptic', 'facebook/mask2former-swin-large-ade-semantic', 'facebook/mask2former-swin-base-IN21k-ade-semantic', 'facebook/mask2former-swin-base-IN21k-coco-instance', 'facebook/mask2former-swin-tiny-cityscapes-instance', 'facebook/mask2former-swin-tiny-coco-instance', 'facebook/mask2former-swin-large-cityscapes-semantic', 'openmmlab/upernet-swin-tiny']"
68,bionlp/bluebert_pubmed_uncased_L-12_H-768_A-12,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"['Tsubasaz/clinical-pubmed-bert-base-128', 'AustinZuo/zeo-bert', 'Tsubasaz/clinical-pubmed-bert-base-512', 'jannikskytt/MeDa-Bert', 'seiya/oubiobert-base-uncased', 'Narrativa/NarbioBART', 'FremyCompany/opus-mt-nl-en-healthcare', 'bullmount/hseBert-it-cased', 'batterydata/bert-base-uncased-abstract']"
69,timm/maxvit_tiny_tf_512.in1k,[0.6 0.6 0.4 0.6 0.6 0.6 0.6 0.6 0.6],"['timm/maxvit_tiny_tf_224.in1k', 'timm/maxvit_base_tf_384.in1k', 'timm/coatnet_3_rw_224.sw_in12k', 'timm/maxvit_rmlp_tiny_rw_256.sw_in1k', 'timm/maxvit_rmlp_pico_rw_256.sw_in1k', 'timm/maxvit_rmlp_nano_rw_256.sw_in1k', 'timm/coatnet_rmlp_nano_rw_224.sw_in1k', 'timm/coatnet_rmlp_1_rw_224.sw_in1k', 'timm/maxxvit_rmlp_nano_rw_256.sw_in1k']"
70,mosaicml/mpt-30b-instruct,"[0.92857143 0.92857143 0.92307692 0.2        0.2        0.2
 0.16666667 0.33333333 0.33333333]","['Abzu/mpt-30b-instruct-q8', 'eluzhnica/mpt-30b-instruct-peft-compatible', 'blackmount8/mpt-30b-instruct-ct2-int8_float16', 'allenai/tulu-7b', 'allenai/tulu-65b', 'allenai/tulu-30b', 'smallcloudai/Refact-1_6B-fim', 'TabbyML/SantaCoder-1B', 'Norquinal/Qwen-7B-airoboros-2.1']"
71,HyperbeeAI/Tulpar-7b-v0,[0.5 0.  0.5 0.5 0.5 0.5 0.5 0.  0.5],"['Faradaylab/Aria-40B', 'uwnlp/llama-2-70b-qlora-openorca', 'SaguaroCapital/falcon-40b-wizardlm-lora', 'DarwinAnim8or/Pythia-Greentext-1.4b', 'keyfan/bloomz-rlhf', 'pankajmathur/orca_mini_3b', 'linkanjarad/Cerebras-GPT-Alpaca-590m', 'vincentmin/llama-2-7b-reward-oasst1', 'pankajmathur/orca_mini_v3_70b']"
72,malteos/scincl,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.  0.2],"['allenai/aspire-biencoder-biomed-scib', 'allenai/aspire-biencoder-biomed-spec', 'allenai/aspire-biencoder-compsci-spec', 'allenai/aspire-contextualsentence-singlem-compsci', 'allenai/aspire-contextualsentence-singlem-biomed', 'allenai/aspire-contextualsentence-multim-biomed', 'allenai/aspire-contextualsentence-multim-compsci', 'arazd/MIReAD', 'michiyasunaga/BioLinkBERT-base']"
73,Jorgeutd/bert-large-uncased-finetuned-ner,"[1.         0.25       0.         0.66666667 0.33333333 0.25
 0.25       0.25       0.66666667]","['Jorgeutd/albert-base-v2-finetuned-ner', 'postbot/bert_uncased_tiny_2xthicc-multi-emails-hq', 'chcaa/dfm-encoder-large-v1', 'Nonzerophilip/bert-finetuned-ner_swedish_small_set_health_and_standart', 'MinaAlmasi/dknews-NB-BERT-AI-classifier', 'postbot/bert_uncased_tiny-multi-emails-hq', 'chunwoolee0/klue_ynat_roberta_base_model', 'postbot/bert_uncased_L-2_H-256_A-4-mlm-multi-emails-hq', 'Jorgeutd/bert-base-uncased-finetuned-surveyclassification']"
74,Yntec/RadiantCinemagic,"[0.88888889 0.         0.33333333 0.5        0.16666667 0.
 0.16666667 0.         0.16666667]","['Yntec/RadiantVibes', 'BlancOfficial/Healy_AnimeBlend', 'sd-dreambooth-library/seraphm', 'sd-dreambooth-library/taylorswift', 'stablediffusionapi/graphic-art', 'wavymulder/zelda-diffusion-HN', 'stablediffusionapi/all-526-animated', 'crumb/midjourney-textual-inversions', 'stablediffusionapi/ddosmix']"
75,Salesforce/codet5p-2b,[1.  1.  1.  1.  1.  1.  0.5 1.  1. ],"['Salesforce/codet5p-6b', 'Salesforce/codet5p-220m', 'Salesforce/codet5p-16b', 'Salesforce/instructcodet5p-16b', 'Salesforce/codet5p-770m', 'Salesforce/codet5p-770m-py', 'Salesforce/codet5p-220m-bimodal', 'Salesforce/codet5p-220m-py', 'Salesforce/codet5p-110m-embedding']"
76,Sygil/Sygil-Diffusion,"[0.4        0.4        0.14285714 0.125      0.         0.25
 0.33333333 0.4        0.        ]","['coreml-community/coreml-seek.art_MEGA', 'apple/coreml-stable-diffusion-xl-base', 'ShoukanLabs/OpenNiji', 'ShoukanLabs/OpenNiji-V2', 'damian0815/pashahlis-val-test-1e-6-ep30', 'nadanainone/tondelora', 'Guizmus/SD_DreamerCommunities_Collection', 'coreml-community/coreml-majicmixRealistic_v5Preview', 'Phantom-Artist/phantom-diffusion-s3-the-last-8']"
77,timm/tf_efficientnet_b1.ns_jft_in1k,[0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6],"['timm/tf_efficientnet_b2.ns_jft_in1k', 'timm/tf_efficientnet_b3.ns_jft_in1k', 'timm/tf_efficientnet_b4.ns_jft_in1k', 'timm/tf_efficientnet_b0.ns_jft_in1k', 'timm/tf_efficientnet_b7.ns_jft_in1k', 'timm/tf_efficientnet_l2.ns_jft_in1k', 'timm/tf_efficientnet_b6.ns_jft_in1k', 'timm/tf_efficientnet_b5.ns_jft_in1k', 'timm/vit_base_r50_s16_384.orig_in21k_ft_in1k']"
78,philschmid/pyannote-speaker-diarization-endpoint,"[0.89473684 0.89473684 0.89473684 0.89473684 0.         0.
 0.         0.11764706 0.13333333]","['anilbs/pipeline', 'paris-iea/speaker-diarization', 'pyannote/speaker-diarization', 'KIFF/pyannote-speaker-diarization-endpoint', 'AntonyG/fine-tune-wav2vec2-large-xls-r-1b-sw', 'crossdelenna/wav2vec2-large-en-in-lm', 'KBLab/whisper-large-rixvox', 'nvidia/stt_ru_fastconformer_hybrid_large_pc', 'nvidia/stt_it_fastconformer_hybrid_large_pc']"
79,google/owlvit-base-patch16,[0.75 0.75 0.5  0.5  0.5  0.5  0.25 0.25 0.  ],"['google/owlvit-large-patch14', 'google/owlvit-base-patch32', 'zoheb/yolos-small-balloon', 'microsoft/conditional-detr-resnet-50', 'facebook/deformable-detr-box-supervised', 'facebook/deformable-detr-detic', 'efederici/convnext-base-224-22k-1k-orig-cats-vs-dogs', 'nickmuchi/yolos-small-finetuned-masks', 'mlpc-lab/BLIVA_FlanT5']"
80,anas-awadalla/mpt-1b-redpajama-200b,"[0.66666667 0.66666667 0.33333333 0.33333333 0.33333333 0.33333333
 0.33333333 0.33333333 0.        ]","['mosaicml/mpt-1b-redpajama-200b-dolly', 'seantyh/mpt-1b-rp200b-dolly', 'postbot/bloom-1b1-emailgen', 'lambdalabs/pythia-1.4b-deduped-synthetic-instruct', 'lambdalabs/pythia-6.9b-deduped-synthetic-instruct', 'lambdalabs/pythia-2.8b-deduped-synthetic-instruct', 'stabilityai/stablecode-instruct-alpha-3b', 'lambdalabs/pythia-12b-deduped-synthetic-instruct', 'adavirro/distilhubert-finetuned-gtzan']"
81,UFNLP/gatortron-base,[1. 0. 0. 0. 0. 0. 0. 0. 0.],"['UFNLP/gatortronS', 'nlpie/clinical-distilbert-i2b2-2010', 'Charangan/MedBERT', 'shainaraza/clinical-bias-ner', 'nlpie/clinical-mobilebert-i2b2-2010', 'osiria/bert-italian-uncased-ner', 'cointegrated/rubert-base-cased-nli-threeway', 'osiria/bert-italian-cased-ner', 'bioformers/bioformer-8L']"
82,allenai/scibert_scivocab_uncased,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"['cl-tohoku/bert-base-japanese', 'izumi-lab/bert-small-japanese', 'cl-tohoku/bert-base-japanese-char', 'izumi-lab/bert-small-japanese-fin', 'line-corporation/line-distilbert-base-japanese', 'cl-tohoku/bert-base-japanese-whole-word-masking', 'cl-tohoku/bert-base-japanese-v3', 'qarib/bert-base-qarib', 'ateneoscsl/BUOD_bert2bert_TM']"
83,jackaduma/SecBERT,"[1.         0.         0.5        0.         0.33333333 0.
 0.         0.33333333 0.        ]","['jackaduma/SecRoBERTa', 'allenai/scibert_scivocab_uncased', 'line-corporation/line-distilbert-base-japanese', 'HooshvareLab/bert-fa-base-uncased-clf-persiannews', 'izumi-lab/bert-small-japanese-fin', 'nikotang/bert-large-cuad', 'y-oikawa/Information-triage-for-disaster-tweets', 'cl-tohoku/bert-base-japanese-char', 'deepvk/bert-base-uncased']"
84,stabilityai/japanese-stablelm-instruct-alpha-7b,"[0.5        0.33333333 0.5        0.5        0.5        0.
 0.         0.         0.        ]","['stabilityai/japanese-instructblip-alpha', 'OpenBuddy/openbuddy-falcon-7b-v5-fp16', 'OpenBuddy/openbuddy-openllama-3b-v10-bf16', 'OpenBuddy/openbuddy-atom-13b-v9-bf16', 'digitous/Javelin-GPTJ', 'WillHeld/pfadapter-bart-base-tada-value-eraser', 'lyogavin/Anima33B-DPO-Belle-1k', 'allenai/scirepeval_adapters_prx', 'TheOneHitz/6-BlackBox-9']"
85,Salesforce/codet5-base,[0.5 1.  1.  1.  1.  1.  0.  0.5 1. ],"['gangqinxiao13/fine-tuned-codet5', 'Salesforce/codet5p-16b', 'Salesforce/instructcodet5p-16b', 'Salesforce/codet5p-2b', 'Salesforce/codet5p-6b', 'Salesforce/codet5p-770m-py', 'Deci/DeciCoder-1b', 'Salesforce/codet5p-220m-bimodal', 'Salesforce/codet5p-220m-py']"
86,cointegrated/rubert-tiny,"[0.11111111 0.33333333 0.5        0.         0.5        0.5
 0.5        0.33333333 0.33333333]","['qarib/bert-base-qarib', 'pkshatech/simcse-ja-bert-base-clcmlp', 'ganchengguang/RoBERTa-base-japanese-sentencepiece', 'qarib/bert-base-qarib_far_9920k', 'Addedk/kbbert-distilled-cased', 'ganchengguang/RoBERTa-base-janpanese', 'distilbert-base-multilingual-cased', 'vocab-transformers/dense_encoder-msmarco-bert-base-word2vec256k_emb_updated', 'izumi-lab/bert-small-japanese-fin']"
87,siebert/sentiment-roberta-large-english,"[0.25       0.5        0.         0.25       0.33333333 0.16666667
 0.         0.25       0.16666667]","['w11wo/indonesian-roberta-base-indolem-sentiment-classifier-fold-0', 'osiria/bert-tweet-italian-uncased-sentiment', 'Orkhan/llama-2-7b-absa', 'selimsametoglu/selims', 'cardiffnlp/twitter-roberta-base-sentiment', 'edumunozsala/RuPERTa_base_sentiment_analysis_es', 'kevinscaria/joint_tk-instruct-base-def-pos-neg-neut-combined', 'mwz/UrduClassification', 'fhamborg/roberta-targeted-sentiment-classification-newsarticles']"
88,EleutherAI/pythia-12b,"[1.         0.83333333 0.66666667 0.66666667 0.83333333 0.25
 0.         0.         0.16666667]","['EleutherAI/pythia-6.9b', 'EleutherAI/pythia-70m-deduped', 'P1ayer-1/pythia-1b-deduped-instruct-base', 'exa1128/pythia-1000step', 'EleutherAI/pythia-1.4b-v0', 'rustformers/pythia-ggml', 'uwnlp/llama-2-70b-qlora-openorca', 'declare-lab/flan-alpaca-xl-lora', 'ngoantech/Llama-2-7b-vietnamese-20k']"
89,microsoft/xtremedistil-l6-h256-uncased,"[0.66666667 0.66666667 0.         0.         0.         0.
 0.         0.         0.        ]","['microsoft/xtremedistil-l6-h384-uncased', 'microsoft/xtremedistil-l12-h384-uncased', 'google/switch-base-8', 'nlpie/miniALBERT-128', 'google/switch-c-2048', 'bonadossou/multitask_model_fon_False_multiplicative', 'ybelkada/switch-base-8-xsum', 'uer/t5-v1_1-base-chinese-cluecorpussmall', 'crumb/FLAN-OPT-1.3b-LoRA']"
90,KRAFTON/KORani-v3-13B,"[0.8        0.         0.         0.         0.         0.4
 0.33333333 0.         0.        ]","['KRAFTON/KORani-v1-13B', 'noahkim/KoT5_Translate_ko_jp', 'chunwoolee0/mt5_small_wmt16_de_en', 'w11wo/sundanese-roberta-base', 'Navvye/whisper-large-v2-kangri', 'NousResearch/Nous-Hermes-13b', 'anugrahap/gpt2-indo-textgen', 'Bahasalab/BahasaGpt-chat', 'w11wo/malaysian-distilbert-small']"
91,EleutherAI/polyglot-ko-5.8b,"[1.         1.         1.         0.33333333 1.         1.
 1.         0.33333333 0.5       ]","['EleutherAI/polyglot-ko-1.3b', 'EleutherAI/polyglot-ko-3.8b', 'EleutherAI/polyglot-ko-12.8b', 'skt/ko-gpt-trinity-1.2B-v0.5', 'EleutherAI/gpt-neo-125m', 'EleutherAI/gpt-neo-1.3B', 'EleutherAI/gpt-neo-2.7B', 'lchaloupsky/czech-gpt2-oscar', 'KoboldAI/GPT-Neo-2.7B-Janeway']"
92,tiiuae/falcon-40b-instruct,"[1.         0.5        1.         1.         0.66666667 1.
 0.66666667 0.66666667 0.66666667]","['tiiuae/falcon-7b-instruct', 'blackmount8/falcon-7b-instruct-ct2-int8_float16', 'tiiuae/falcon-40b', 'tiiuae/falcon-180B', 'hlarcher/falcon-7b-v100s', 'tiiuae/falcon-7b', 'h2o-llmstudio/falcon-7b-fix', 'TitanML/ct2-int8-falcon-7b', 'rishiraj/geraki']"
93,lllyasviel/control_v11e_sd15_ip2p,"[0.85714286 0.85714286 0.71428571 0.85714286 0.85714286 0.85714286
 0.85714286 0.75       0.85714286]","['lllyasviel/control_v11p_sd15s2_lineart_anime', 'lllyasviel/control_v11p_sd15_inpaint', 'OrderAndChaos/controlnet-inpaint-endpoint', 'lllyasviel/control_v11p_sd15_lineart', 'lllyasviel/control_v11e_sd15_shuffle', 'lllyasviel/control_v11p_sd15_scribble', 'lllyasviel/control_v11p_sd15_openpose', 'ControlNet-1-1-preview/control_v11p_sd15_lineart', 'lllyasviel/control_v11p_sd15_seg']"
94,Hate-speech-CNERG/bert-base-uncased-hatexplain,"[0.33333333 0.33333333 1.         0.33333333 0.33333333 0.33333333
 0.         0.         0.        ]","['MilaNLProc/hate-ita', 'MilaNLProc/hate-ita-xlm-r-large', 'Hate-speech-CNERG/dehatebert-mono-english', 'amengemeda/amharic-hate-speech-detection-mBERT', 'l3cube-pune/me-hate-bert', 'l3cube-pune/me-hate-roberta', 'Narrativa/byt5-base-tweet-hate-detection', 'morit/arabic_xlm_xnli', 'morit/chinese_xlm_xnli']"
95,d4data/bias-detection-model,"[0.33333333 0.         0.33333333 0.         0.         0.33333333
 0.         0.         0.        ]","['amirhossein1376/pft-clf-finetuned', 'Agtian/llama-65b-int4', 'nickprock/xlm-roberta-base-banking77-classification', 'alexl83/LLaMA-33B-HF', 'snipaid/gptj-title-teaser-10k', 'jonahank/KlimaBERT', 'Jorgeutd/bert-large-uncased-finetuned-ner', 'typeform/distilbert-base-uncased-mnli', 'w11wo/javanese-bert-small']"
96,intfloat/multilingual-e5-large,"[0.8        0.83333333 0.33333333 0.         0.         0.
 0.         0.         0.        ]","['intfloat/e5-large-unsupervised', 'intfloat/e5-small', 'gruber/e5-small-v2-ggml', 'tau/bart-base-sled-contractnli', 'tau/bart-base-sled-govreport', 'PlanTL-GOB-ES/RoBERTalex', 'Sakonii/distilgpt2-nepali-qa', 'tau/bart-base-sled-summscreenfd', 'tau/bart-base-sled']"
97,cerebras/Cerebras-GPT-256M,"[1.         1.         1.         1.         1.         1.
 0.8        0.         0.33333333]","['cerebras/Cerebras-GPT-1.3B', 'cerebras/Cerebras-GPT-590M', 'cerebras/Cerebras-GPT-256M', 'cerebras/Cerebras-GPT-6.7B', 'cerebras/Cerebras-GPT-2.7B', 'cerebras/Cerebras-GPT-13B', 'marcospiau/Cerebras-GPT-13B-reshard-1GB-float32', 'bjoernp/alpaca-cerebras-6.7B', 'seantyh/mpt-1b-rp200b-dolly']"
98,climatebert/distilroberta-base-climate-sentiment,"[0.33333333 0.66666667 0.33333333 0.66666667 0.33333333 0.
 0.66666667 0.66666667 0.        ]","['Narsil/finbert2', 'climatebert/distilroberta-base-climate-specificity', 'soleimanian/financial-roberta-large-sentiment', 'climatebert/distilroberta-base-climate-tcfd', 'kk08/CryptoBERT', 'andrea-t94/roberta-fine-tuned-twitter', 'climatebert/distilroberta-base-climate-commitment', 'climatebert/distilroberta-base-climate-detector', 'RecordedFuture/Swedish-Sentiment-Fear-Targets']"
99,deepset/electra-base-squad2,[1. 1. 1. 1. 1. 1. 1. 0. 0.],"['deepset/minilm-uncased-squad2', 'deepset/tinyroberta-6l-768d', 'deepset/bert-medium-squad2-distilled', 'deepset/xlm-roberta-large-squad2', 'deepset/roberta-base-squad2-distilled', 'deepset/tinybert-6l-768d-squad2', 'deepset/bert-base-uncased-squad2', 'PlanTL-GOB-ES/roberta-base-bne', 'cssupport/mobilebert-sql-injection-detect']"
